isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9780070992979,0,595.0,20.0,NA,6,MCGRAW-HILL EDUCATION INDIA PVT.LTD - NEW DELHI,0.0
9780000001269,0,135.0,20.0,NA,23,READ WITH ME STORIES 4-8,0.0
9780953064823,0,3067.48,30.0,NA,21,ARTECH HOUSE,0.0
9788176257787,0,500.0,50.0,NA,87,SARUP,0.0
9780000003348,0,399.0,20.0,NA,23,INQUILAB : A DECADE OF PROTEST,0.0
9780000003904,0,250.0,20.0,NA,23,THINK AND WIN LIKE DHONI 2ND EDITION 2020,0.0
9780195659351,0,495.0,20.0,NA,116,OXFORD UNIVERSITY PRESS,0.0
9788170214045,0,20.0,30.0,NA,169,B.JAIN LARGE PRINT,0.0
9788176253918,0,550.0,50.0,NA,87,SARUP,0.0
9788176258067,0,4500.0,50.0,NA,87,SARUP,0.0
9788183333313,0,225.0,20.0,NA,6,BPB PUBLICATIONS-NEW DELHI,0.0
9788174466792,0,1185.0,35.0,NA,130,EXCEL-BOOKS,0.0
9788176257756,0,2200.0,50.0,NA,87,SARUP,0.0
9780000003041,0,150.0,20.0,NA,23,FAST TRACK TO NCHINESE,0.0
9781446165621,0,1120.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9781548225681,0,528.938,10.0,NA,188,PBC-DISTRIBUTORS,0.0
9788176257015,0,400.0,50.0,NA,87,SARUP,0.0
9789358011517,0,99.0,40.0,NA,90,DOUBLE 9 PUBLISHER,0.0
9781683745563,0,610.364,5.0,NA,188,PBC-DISTRIBUTORS,0.0
9780000001320,0,240.0,20.0,NA,23,CCC MADE SIMPLE- HINDI,0.0
9780000003324,0,350.0,20.0,NA,23,HOROSCOPE 2019: YOUR COMPLETE FORECAST,0.0
9780890069073,0,8946.0,30.0,NA,21,ARTECH HOUSE,0.0
9781542711838,0,647.0,28.0,NA,90,INGRAM SRECOM,254.0
9788176257855,0,300.0,50.0,NA,87,SARUP,0.0
9780890069073,0,10650.6,40.0,NA,285,VYCO BOOKS,0.0
9781542949941,0,661.338,10.0,NA,188,PBC-DISTRIBUTORS,0.0
9780584107555,0,387.8,33.0,NA,20,,0.0
9781420091649,0,41601.7,45.0,NA,90,BEST MEDICAL,0.0
9788176258203,0,800.0,50.0,NA,87,SARUP,0.0
9781420091649,0,41601.7,45.0,NA,208,CRC PRESS,0.0
9780000011305,0,299.0,20.0,NA,23,THE HEARTFULNESS WAY (ENGLISH),0.0
9780000011527,0,175.0,20.0,NA,23,THE GREAT WAR OF HIND,0.0
9780245590689,0,444.975,33.0,NA,20,CHAMBERS,0.0
9781541347533,0,661.338,10.0,NA,188,PBC-DISTRIBUTORS,0.0
9780890069509,0,3180.8,30.0,NA,21,ARTECH HOUSE,0.0
9781580530170,0,2485.0,30.0,NA,21,ARTECH HOUSE,0.0
9781580531092,0,37076.2,30.0,NA,21,ARTECH HOUSE,0.0
9789364288910,0,299.0,50.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9780890069509,0,3733.2,40.0,NA,285,VYCO BOOKS,0.0
9780890067147,0,9144.8,30.0,NA,21,ARTECH HOUSE,0.0
9781444961591,0,1199.0,20.0,NA,23,PUBLISHER NOT FOUND,0.0
9781607107439,0,399.0,35.0,NA,32,THUNDER BAY PRESS,0.0
9788174466211,0,630.0,35.0,NA,130,EXCEL-BOOKS,0.0
9780000011572,0,699.0,20.0,NA,23,ABODE DREAMWEAVER CS6 BIBLE,0.0
9780870702297,0,832.365,33.0,NA,20,MUSEUM OF MODERN ART,0.0
9780890066249,0,9144.8,30.0,NA,21,ARTECH HOUSE,0.0
9780000001290,0,60.0,20.0,NA,23,CHILDERN'S FIRST ENCY.,0.0
9781580532471,0,7554.4,30.0,NA,21,ARTECH HOUSE,0.0
9789364288835,0,125.0,40.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9780904766271,0,249.3,33.0,NA,20,,0.0
9781607107453,0,399.0,35.0,NA,32,THUNDER BAY PRESS,0.0
9781726473781,0,960.0,28.0,NA,90,INGRAM SRECOM,331.0
9789364280952,0,299.0,40.0,NA,90,DOUBLE 9 PUBLISHER,0.0
9780071188852,0,444.475,30.0,NA,21,MCGH.ISE,0.0
9780500200230,0,1199.0,33.0,NA,20,,0.0
9781589480759,0,1983.03,30.0,NA,21,EARTHSCAN,0.0
9781743635445,0,595.0,35.0,NA,32,HINKLER,0.0
9781898697312,0,2286.2,30.0,NA,21,GRUB STREET,0.0
9788121509268,0,650.0,30.0,NA,14,MUNSHIRAM MANOHARLAL PUBLISHERS PVT LTD,0.0
9788185944661,0,150.0,20.0,NA,6,UBS PUBLISHERS' DISTRIBUTORS (P) LTD.-NEW DELHI,0.0
9780000011503,0,399.0,20.0,NA,23,W HOW TO WORKS,0.0
9781608074723,0,9006.0,30.0,NA,21,ARTECH HOUSE,0.0
9788174761941,0,175.0,20.0,NA,6,UBS PUBLISHERS' DISTRIBUTORS (P) LTD.-NEW DELHI,0.0
9788174761941,0,175.0,20.0,NA,116,UBS,0.0
9788174761941,0,175.0,20.0,NA,90,UBS PUBLISHERS' DISTRIBUTORS (P) LTD.-NEW DELHI,0.0
9780273688013,0,5466.01,30.0,NA,21,PEARSON(ORG),0.0
9781445488813,0,195.0,43.0,NA,99,PARRAGON,0.0
9781497009530,0,1982.69,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9781546496212,0,1288.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9780439519137,0,350.0,50.0,NA,204,SCHOLASTIC,0.0
9780000012258,0,88.0,20.0,NA,23,A CHRISTMAS CAROL,0.0
9780024097200,0,1865.25,30.0,NA,21,PALGRAVE,0.0
9781580533218,0,7753.2,30.0,NA,21,ARTECH HOUSE,0.0
9781743634981,0,199.0,35.0,NA,32,HINKLER,0.0
9789361424120,2,99.0,40.0,NA,90,DOUBLE 9 PUBLISHER,700.0
9781940269412,0,992.338,25.0,NA,188,PBC-DISTRIBUTORS,0.0
9783126700214,500,3300.0,20.0,NA,336,,0.0
9788173192302,0,160.0,20.0,NA,116,NAROSA PUBLISHING HOUSE,0.0
9788176256636,0,450.0,50.0,NA,87,SARUP,0.0
9781741811605,0,460.0,0.0,NA,188,PBC-DISTRIBUTORS,0.0
9783631300862,0,5442.72,47.0,NA,291,NEWGEN KNOWLEDGE,0.0
9780000003898,0,199.0,20.0,NA,23,RELATIVITY: THE SPECIAL AND GENERAL THEORY,0.0
9780000011251,0,285.0,20.0,NA,23,BHARAT KA SANVIDHAN AND BARATIY RAJBYAVSTHA,0.0
9781898697756,0,1490.01,30.0,NA,21,GRUB STREET,0.0
9788176257695,0,300.0,50.0,NA,87,SARUP,0.0
9780000011053,0,275.0,20.0,NA,23,GANDHI NEHRU TAGORE & OTHER EMINENT PERSONALITIES OF MODERN INDIA 2019,0.0
9788190276665,0,129.0,33.0,NA,20,,0.0
9781545364574,0,504.0,28.0,NA,90,INGRAM USA,177.0
