isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9789361426827,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9788183768559,5,1795.0,50.0,NA,393,ABD PUBLISHERS,0.0
9789360463243,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9788189473679,5,990.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9788173193439,1,450.0,40.0,NA,245,NAROSA PUBLISHING HOUSE,0.0
9789358018790,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789360463151,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789280810752,1,1936.0,40.0,NA,265,,0.0
9789361429552,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789361429576,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289962,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179094,5,1295.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789358011517,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9781850510963,0,799.0,40.0,NA,308,VINTAGE UK PRH,0.0
9789361426049,100,275.0,40.0,NA,304,Double 9 Publisher,0.0
9789361429811,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9781474206822,0,17075.3,42.5,NA,22,BLOOMSBURY,0.0
9789364280259,1,225.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789364287388,1,225.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358017809,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280259,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286213,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287388,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9781580530170,1,3821.06,45.0,NA,245,ARTECH HOUSE,0.0
9789364288910,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9788192485188,10,600.0,30.0,NA,344,,0.0
9789380833248,5,795.0,50.0,NA,408,,0.0
9789364282413,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9780321391544,1,6851.0,40.0,NA,265,,0.0
9789364282413,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364289511,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462796,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789360462796,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789361429422,100,675.0,40.0,NA,304,Double 9 Publisher,0.0
9789364280280,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286473,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179346,5,1250.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789358010985,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364282154,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288835,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789358017397,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462451,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364280952,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289283,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789365787856,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789380833354,5,5500.0,50.0,NA,408,,0.0
9789357484459,1,349.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789357484459,100,349.0,50.0,NA,304,Double 9 Publisher,0.0
9789358710410,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789360704148,0,375.0,25.0,NA,113,STORYMIRROR INFOTECH PVT LTD,0.0
9789357484985,100,375.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280099,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9788183763479,5,8000.0,50.0,NA,393,ABD PUBLISHERS,0.0
9789391524142,5,600.0,50.0,NA,421,,0.0
9789361420078,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9781637814635,10,440.0,30.0,NA,344,,0.0
9789357484886,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789358018585,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789360463229,1,275.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358018455,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789360462383,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360463229,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287104,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789360462444,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789361424120,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287104,100,249.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288767,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9781304378941,10,195.0,30.0,NA,344,,0.0
9798887175560,10,250.0,30.0,NA,344,,0.0
9789364286893,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789241544184,1,3802.56,45.0,NA,245,WORLD HEALTH ORGANIZATION,0.0
9780721424989,0,575.0,40.0,NA,308,LADYBIRD,0.0
9789358016642,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789358017595,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789364280136,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9789389934724,5,525.0,40.0,NA,307,ALLIED,0.0
9788121200677,100,2090.0,50.0,NA,34,GYAN PUBLISHING HOUSE,0.0
9788121200677,10,2090.0,45.0,NA,92,RAJ PUBLICATIONS,0.0
9789358019339,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358017212,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789358019339,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789361423796,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789361425998,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789380833477,5,895.0,50.0,NA,408,,0.0
9789391524432,5,1995.0,50.0,NA,421,,0.0
9789391524562,0,2500.0,50.0,NA,421,,0.0
9789389934656,0,1095.0,30.0,NA,36,BIOGREEN,0.0
9789391524111,10,1495.0,30.0,NA,92,RAJ PUBLICATIONS,0.0
9789358712452,100,575.0,50.0,NA,304,Double 9 Publisher,0.0
9789361429934,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789389934656,5,1095.0,40.0,NA,307,ALLIED,0.0
9789389934656,0,1095.0,30.0,NA,253,ALLIED PUB,0.0
9789389934915,10,950.0,40.0,NA,307,ALLIED,0.0
9789391524111,5,1800.0,50.0,NA,421,,0.0
9781903734469,3,268.852,55.0,NA,39,,0.0
9780132275606,1,10224.0,40.0,NA,265,,0.0
9789357485302,100,399.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286411,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358710625,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360463045,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286411,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287661,1,475.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789364287920,1,399.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358018349,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789361423758,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281324,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364281553,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287661,100,475.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287920,100,399.0,50.0,NA,304,Double 9 Publisher,0.0
9789361426544,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288293,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789355291318,5,395.0,40.0,NA,392,,0.0
